사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
6168100116,1,20220316,1620344,강**,71,이사,,,,,,,,제주대학원,주아트피큐 이사,I,20221114,,
3148100117,1,20210923,1514555,이**,30,대표이사사장,,,,,,,,,,I,20221114,,
1208800118,1,20210902,6057143,길**,30,대표이사사장,,,,,,,,,,I,20221114,,
1228100119,1,,,,,,,,,,,,,,,I,20221114,,
1238100120,1,20211125,1698701,김**,30,대표이사사장,,,,,,,,서울대학교 경영대학원 최고경영자과정 수료2001,현 세종텔레콤주 대표이사 현 주세종 대표이사전 세종증,I,20221114,,
1238100120,2,20211125,1698701,유**,30,대표이사사장,,,,,,,,중앙대학교,현 세종텔레콤주 대표이사전 정보통신부 서기관,I,20221114,,
1238100120,3,20211125,1698701,박**,62,상무이사,전략,2,비등기,Park Hyo Jin,,,,,현 세종텔레콤주 신성장사업본부장전 세종텔레콤주 마케팅,I,20221114,,
1238100120,4,20211125,1698701,최**,62,상무이사,서비스,2,비등기,Choe Dae Su,,,,,현 세종텔레콤주 기술본부 본부장전 세종텔레콤주 기술팀,I,20221114,,
1238100120,5,20211125,1698701,안**,71,이사,,1,등기,An Jong Suk,12771,경기 광주시 오포읍 새말길,"119, 301호 (신현리,홍인빌라)",경기상업고등학교,현 세종텔레콤주 부회장전 주조일이씨에스 대표이사 전 ,I,20221114,,
1238100120,6,20211125,1698701,김**,76,사외이사,,,,,,,,,현 세종텔레콤주 사외이사전 주차바이오텍 비상근감사전,I,20221114,,
1238100120,7,20211125,1698701,서**,76,사외이사,,1,등기,Seo Yeong Gil,,,,고려대학교 대학원 행정학 박사1999,현 세종텔레콤주 사외이사전 IGM 세계경영연구원 원장전 TU,I,20221114,,
1238100120,8,20211125,1698701,김**,81,감사,,1,등기,Kim Jae Chan,,,,서울대학교 세계경제최고전략과정 수료2003,현 세종텔레콤주 감사전 금융감독원 국장 전 코스닥협회 상,I,20221114,,
1238100120,9,20211125,1698701,강  **,999,기타,,,,,,,,,현 세종텔레콤 전략사업 본부장전 KT이엔지코어 대표이사 및,I,20221114,,
1238100120,10,20211125,1698701,강*,999,기타,,,,,,,,,현 세종텔레콤 전략사업 본부장전 KT이엔지코어 대표이사 및,I,20221114,,
1130100121,1,,,,,,,,,,,,,,,I,20221114,,
4081800122,1,,,,,,,,,,,,,,,I,20221114,,
8965300123,1,,,,,,,,,,,,,,,I,20221114,,
5038100124,1,20220324,2240754,이**,71,이사,,,,,,,,경북대학교,주제이에스시스템 대표이사,I,20221114,,
1098100125,1,,,,,,,,,,,,,,,I,20221114,,
5138100126,1,,,,,,,,,,,,,,,I,20221114,,
1078600127,1,20210923,1841705,강**,30,대표이사사장,,,,,,,,,,I,20221114,,
1208600128,1,,,,,,,,,,,,,,,I,20221114,,
7858500129,1,,,,,,,,,,,,,,,I,20221114,,
3038100130,1,20220418,4166443,안**,71,이사,,,,,,,,,,I,20221114,,
