사업자등록번호,데이터수집일자,기업코드,기업명,업종,업종명,기업규모,기업규모명,CRI등급,CRI기준일,결산일자,CRI등급설명,CRI등급명세,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018100047,,,,,,,,,,,,,I,20221104,,
1018200048,20221022,1992675,한****,,"전문, 과학 및 기술 서비스업",,기타(비영리법인),B2,20220719,,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",,I,20221104,,
1018200048,20220418,1992675,한*****,M,,3,기타(비영리법인),B2,20220415,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018200048,20220107,1992675,한*****,M,,3,기타(비영리법인),B3,20211231,20181231,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",양호,I,20221104,,
1018200048,,,,,,,,,,,,,I,20221104,,
1018200049,20221022,2881976,한****,,"예술, 스포츠 및 여가관련 서비스업",,기타(비영리법인),A1,20220719,,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용",,I,20221104,,
1018200049,20220418,2881976,한*****,M,,3,기타(비영리법인),A1,20220415,20201231,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용",우수,I,20221104,,
1018200049,20220107,2881976,한*****,M,,3,기타(비영리법인),A1,20211231,20201231,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용",우수,I,20221104,,
1018200049,,,,,,,,,,,,,I,20221104,,
1018200050,20221022,2837602,함****,,"협회 및 단체, 수리 및 기타 개인 서비스업",,기타(비영리법인),B3,20220719,,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",,I,20221104,,
1018200050,20220418,2837602,함*****,M,,3,기타(비영리법인),A2,20220415,20201231,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018200050,20220107,2837602,함*****,M,,3,기타(비영리법인),A2,20211231,20201231,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018200050,,,,,,,,,,,,,I,20221104,,
1018200051,20221022,3054960,여****,,"협회 및 단체, 수리 및 기타 개인 서비스업",,기타(비영리법인),B2,20220719,,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",,I,20221104,,
1018200051,,,,,,,,,,,,,I,20221104,,
